"","ensembl_gene_id","p_val","avg_logFC","pct.1(treatment)","pct.2(control)","p_val_adj","mgi_symbol","description"
"18","ENSMUSG00000001025",0.755875125463641,Inf,0.159,0.6,1,"S100a6","S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]"
"19","ENSMUSG00000001039",0.0897930991217839,195.154210724247,0.136,0.4,1,"B9d1","B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]"
"20","ENSMUSG00000001052",0.00842893299281724,480.726597648557,0.136,0.3,1,"Sec24b","Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
"21","ENSMUSG00000001056",0.0871145706470809,-95.6538405150027,0.25,0.4,1,"Nhp2","NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
"22","ENSMUSG00000001123",3.36636574682147e-11,63.0046578565638,0.023,1,6.73273149364294e-08,"Lgals9","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
"23","ENSMUSG00000001134",1.83561280140175e-08,131.601235108214,0.068,1,3.6712256028035e-05,"Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]"
"24","ENSMUSG00000001211",0.0466792173986407,252.524320750974,0.273,0.4,1,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]"
"25","ENSMUSG00000001280",0.65418064395166,-105.251240561855,0.091,0.5,1,"Sp1","trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]"
"26","ENSMUSG00000001313",0.604746395816252,Inf,0.182,0.6,1,"Rnd2","Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]"
"27","ENSMUSG00000001403",0.000496029859994015,434.729326913516,0.227,1,0.992059719988029,"Ube2c","ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]"
"28","ENSMUSG00000001418",7.59054669606451e-06,Inf,0.364,1,0.015181093392129,"Glmp","glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]"
"29","ENSMUSG00000001436",3.56790343335406e-07,196.175208035155,0.114,1,0.000713580686670812,"Slc19a1","solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]"
"30","ENSMUSG00000001473",8.00054604872751e-06,348.499033051677,0.091,0.9,0.016001092097455,"Tubb6","tubulin, beta 6 class V [Source:MGI Symbol;Acc:MGI:1915201]"
"31","ENSMUSG00000001482",1.82247654195308e-07,393.320274364225,0.091,1,0.000364495308390616,"Def8","differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331]"
"32","ENSMUSG00000001506",0.00189379780177948,Inf,0.386,1,1,"Col1a1","collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]"
"33","ENSMUSG00000001518",6.84386790538794e-06,484.874437678719,0.068,0.9,0.0136877358107759,"Itfg2","integrin alpha FG-GAP repeat containing 2 [Source:MGI Symbol;Acc:MGI:1915450]"
"34","ENSMUSG00000001521",0.00264214495291738,409.24291267084,0.591,1,1,"Tulp3","tubby-like protein 3 [Source:MGI Symbol;Acc:MGI:1329045]"
"35","ENSMUSG00000001755",5.77932366469511e-10,130.283435322358,0.045,1,1.15586473293902e-06,"Coasy","Coenzyme A synthase [Source:MGI Symbol;Acc:MGI:1918993]"
"36","ENSMUSG00000001827",1.03099136469239e-09,0.58481413203822,0.045,1,2.06198272938479e-06,"Folr1","folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]"
"37","ENSMUSG00000001930",0.136648133506454,-6.49966273369077,0.091,0.4,1,"Vwf","Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]"
"38","ENSMUSG00000001946",2.91606104227962e-06,60.215733190472,0.068,0.9,0.00583212208455924,"Esam","endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]"
"39","ENSMUSG00000001962",0.0873322655650097,168.860019721986,0.205,0.4,1,"Fam50a","family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]"
"40","ENSMUSG00000001986",5.75408446768135e-05,69.2436512739531,0.227,1,0.115081689353627,"Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]"
"41","ENSMUSG00000001995",0.115058552828324,1.76480013285672,0.045,0.4,1,"Sipa1l2","signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]"
"42","ENSMUSG00000002010",3.41324641121854e-05,-140.862780824884,0.25,1,0.0682649282243709,"Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]"
"43","ENSMUSG00000002028",0.221269517099653,379.506535663384,0.341,0.5,1,"Kmt2a","lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]"
"44","ENSMUSG00000002068",0.00418521840745068,2.29178812138156,0.023,0.3,1,"Ccne1","cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]"
"45","ENSMUSG00000002233",5.17020843632805e-05,190.512446458714,0.182,1,0.103404168726561,"Rhoc","ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]"
"46","ENSMUSG00000002265",0.0172522719292276,320.004901690809,0.432,1,1,"Peg3","paternally expressed 3 [Source:MGI Symbol;Acc:MGI:104748]"
"47","ENSMUSG00000002297",0.00129644332991976,-227.337230898064,0.318,0.2,1,"Dbf4","DBF4 zinc finger [Source:MGI Symbol;Acc:MGI:1351328]"
"48","ENSMUSG00000002308",0.573050172791061,224.705609973694,0.091,0.6,1,"Cd320","CD320 antigen [Source:MGI Symbol;Acc:MGI:1860083]"
"49","ENSMUSG00000002428",0.0871145706470809,152.030742839626,0.25,0.4,1,"Hltf","helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"
"50","ENSMUSG00000002455",1.11872014779034e-05,400.565810633331,0.182,1,0.0223744029558068,"Prpf6","pre-mRNA splicing factor 6 [Source:MGI Symbol;Acc:MGI:1922946]"
"51","ENSMUSG00000002458",0.573050172791061,311.190888437089,0.091,0.6,1,"Rgs19","regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]"
"52","ENSMUSG00000002546",3.99797134879091e-07,243.356762337146,0.159,1,0.000799594269758182,"Golga2","golgi autoantigen, golgin subfamily a, 2 [Source:MGI Symbol;Acc:MGI:2139395]"
"53","ENSMUSG00000002803",1.15484765611825e-07,-78.6116907629522,0.023,0.9,0.000230969531223651,"Btbd6","BTB (POZ) domain containing 6 [Source:MGI Symbol;Acc:MGI:3026623]"
"54","ENSMUSG00000002900",0.00416518165079073,90.9145429312556,0.068,0.3,1,"Lamb1","laminin B1 [Source:MGI Symbol;Acc:MGI:96743]"
"55","ENSMUSG00000002997",0.049981584344407,280.45997862499,0.114,0.7,1,"Prkar2b","protein kinase, cAMP dependent regulatory, type II beta [Source:MGI Symbol;Acc:MGI:97760]"
"56","ENSMUSG00000003119",0.403097404424728,294.849778431103,0.182,0.5,1,"Cdk12","cyclin-dependent kinase 12 [Source:MGI Symbol;Acc:MGI:1098802]"
"57","ENSMUSG00000003134",5.99357305230292e-10,125.10303856853,0.114,0,1.19871461046058e-06,"Tbc1d8","TBC1 domain family, member 8 [Source:MGI Symbol;Acc:MGI:1927225]"
"58","ENSMUSG00000003226",0.000236738184615614,-92.777645004567,0.182,0.9,0.473476369231229,"Ranbp2","RAN binding protein 2 [Source:MGI Symbol;Acc:MGI:894323]"
"59","ENSMUSG00000003316",0.0161836300220599,Inf,0.432,1,1,"Glg1","golgi apparatus protein 1 [Source:MGI Symbol;Acc:MGI:104967]"
"60","ENSMUSG00000003360",1.54893028062836e-05,-226.760979337375,0,0.2,0.0309786056125673,"Ddx23","DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 [Source:MGI Symbol;Acc:MGI:1921601]"
"61","ENSMUSG00000003436",7.36268380104026e-07,616.8794788236,0.136,1,0.00147253676020805,"Dll3","delta like canonical Notch ligand 3 [Source:MGI Symbol;Acc:MGI:1096877]"
"62","ENSMUSG00000003437",0.0013735737351073,Inf,0.227,0.9,1,"Paf1","Paf1, RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:1923988]"
"63","ENSMUSG00000003438",0.586352010197462,90.0252955962853,0.182,0.5,1,"Timm50","translocase of inner mitochondrial membrane 50 [Source:MGI Symbol;Acc:MGI:1913775]"
"64","ENSMUSG00000003452",1.14376899593584e-08,251.930035313214,0.091,1,2.28753799187169e-05,"Bicd1","BICD cargo adaptor 1 [Source:MGI Symbol;Acc:MGI:1101760]"
"65","ENSMUSG00000003541",2.81208634609247e-05,66.1285997929943,0.114,0.9,0.0562417269218494,"Ier3","immediate early response 3 [Source:MGI Symbol;Acc:MGI:104814]"
"66","ENSMUSG00000003604",0.000199658538125817,298.632681644308,0.205,1,0.399317076251633,"Aven","apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]"
"67","ENSMUSG00000003617",6.82654496227215e-06,281.794435875372,0.182,1,0.0136530899245443,"Cp","ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"
"68","ENSMUSG00000003644",0.111052526073717,-8.82735559570277,0.114,0.4,1,"Rps6ka1","ribosomal protein S6 kinase polypeptide 1 [Source:MGI Symbol;Acc:MGI:104558]"
"69","ENSMUSG00000003662",0.00229580434194065,40.0313470178374,0.091,0.8,1,"Ciao1","cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998]"
"70","ENSMUSG00000003752",0.129858644405389,102.69507286485,0.045,0.4,1,"Itpkc","inositol 1,4,5-trisphosphate 3-kinase C [Source:MGI Symbol;Acc:MGI:2442554]"
"71","ENSMUSG00000003778",0.00405351462069299,Inf,0.432,1,1,"Brd8","bromodomain containing 8 [Source:MGI Symbol;Acc:MGI:1925906]"
"72","ENSMUSG00000003808",7.47550680725994e-05,Inf,0.159,0.9,0.149510136145199,"Farsa","phenylalanyl-tRNA synthetase, alpha subunit [Source:MGI Symbol;Acc:MGI:1913840]"
"73","ENSMUSG00000003812",4.33339934632038e-08,225.164600546188,0.091,1,8.66679869264077e-05,"Dnase2a","deoxyribonuclease II alpha [Source:MGI Symbol;Acc:MGI:1329019]"
"74","ENSMUSG00000003934",1.40459058891284e-09,74.3728599042418,0.136,0,2.80918117782567e-06,"Efnb3","ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]"
"75","ENSMUSG00000003974",5.44747835355958e-13,-17.5463993336362,0,1,1.08949567071192e-09,"Grm3","glutamate receptor, metabotropic 3 [Source:MGI Symbol;Acc:MGI:1351340]"
"76","ENSMUSG00000004100",0.155801311989126,Inf,0.159,0.7,1,"Ppan","peter pan homolog [Source:MGI Symbol;Acc:MGI:2178445]"
"77","ENSMUSG00000004127",0.148012631128,257.714417194129,0.295,0.4,1,"Trmt10a","tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421]"
"78","ENSMUSG00000004151",0.180821361841745,66.1895199025977,0.159,0.7,1,"Etv1","ets variant 1 [Source:MGI Symbol;Acc:MGI:99254]"
"79","ENSMUSG00000004317",0.000166295632539063,213.655939614887,0.136,0.2,0.332591265078126,"Clcn5","chloride channel, voltage-sensitive 5 [Source:MGI Symbol;Acc:MGI:99486]"
"80","ENSMUSG00000004383",0.0445791821228168,119.451133068962,0.091,0.7,1,"Large1","LARGE xylosyl- and glucuronyltransferase 1 [Source:MGI Symbol;Acc:MGI:1342270]"
"81","ENSMUSG00000004393",1.6796604369288e-07,156.518146758656,0.114,1,0.00033593208738576,"Ddx56","DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 [Source:MGI Symbol;Acc:MGI:1277172]"
"82","ENSMUSG00000004530",0.00496536611551892,74.1762118865798,0.455,1,1,"Coro1c","coronin, actin binding protein 1C [Source:MGI Symbol;Acc:MGI:1345964]"
"83","ENSMUSG00000004558",0.0121635014559765,Inf,0.318,0.9,1,"Ndrg2","N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]"
"84","ENSMUSG00000004565",0.022629101196584,17.2384391972777,0.045,0.7,1,"Pnpla6","patatin-like phospholipase domain containing 6 [Source:MGI Symbol;Acc:MGI:1354723]"
"85","ENSMUSG00000004610",0.289476468555208,Inf,0.386,0.5,1,"Etfb","electron transferring flavoprotein, beta polypeptide [Source:MGI Symbol;Acc:MGI:106098]"
"86","ENSMUSG00000004631",0.240163115738528,7.78337823829612,0.295,0.5,1,"Sgce","sarcoglycan, epsilon [Source:MGI Symbol;Acc:MGI:1329042]"
"87","ENSMUSG00000004642",0.631560059507049,217.600380556061,0.818,0.6,1,"Slbp","stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]"
"88","ENSMUSG00000004843",0.0951362248677149,182.192439068015,0.136,0.4,1,"Chmp2b","charged multivesicular body protein 2B [Source:MGI Symbol;Acc:MGI:1916192]"
"89","ENSMUSG00000004892",0.135906635578551,Inf,0.705,1,1,"Bcan","brevican [Source:MGI Symbol;Acc:MGI:1096385]"
"90","ENSMUSG00000005089",0.0495094704094092,Inf,0.273,0.8,1,"Slc1a2","solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:MGI Symbol;Acc:MGI:101931]"
"91","ENSMUSG00000005124",1.03099136469239e-09,406.342851433095,0.045,1,2.06198272938479e-06,"Ccn4","cellular communication network factor 4 [Source:MGI Symbol;Acc:MGI:1197008]"
"92","ENSMUSG00000005142",1.27386360043295e-07,402.142991996901,0.136,1,0.00025477272008659,"Man2b1","mannosidase 2, alpha B1 [Source:MGI Symbol;Acc:MGI:107286]"
"93","ENSMUSG00000005233",0.000580771525160707,400.639972365341,0.273,1,1,"Spc25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913692]"
"94","ENSMUSG00000005370",0.000118245618824267,11.1957937372509,0.114,0.2,0.236491237648535,"Msh6","mutS homolog 6 [Source:MGI Symbol;Acc:MGI:1343961]"
"95","ENSMUSG00000005583",8.08797558656683e-07,Inf,0.295,1,0.00161759511731337,"Mef2c","myocyte enhancer factor 2C [Source:MGI Symbol;Acc:MGI:99458]"
"96","ENSMUSG00000005615",0.100731066258504,148.900476597147,0.136,0.4,1,"Pcyt1a","phosphate cytidylyltransferase 1, choline, alpha isoform [Source:MGI Symbol;Acc:MGI:88557]"
"97","ENSMUSG00000005621",0.000674236060899136,448.881500553226,0.068,0.8,1,"Zfp592","zinc finger protein 592 [Source:MGI Symbol;Acc:MGI:2443541]"
"98","ENSMUSG00000005656",0.095284738745434,27.8114382321339,0.364,0.4,1,"Snx6","sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433]"
"99","ENSMUSG00000005686",0.148011917425744,111.028380549907,0.182,0.7,1,"Ampd3","adenosine monophosphate deaminase 3 [Source:MGI Symbol;Acc:MGI:1096344]"
"100","ENSMUSG00000005803",3.36636574682147e-11,105.821876226127,0.023,1,6.73273149364294e-08,"Sqor","sulfide quinone oxidoreductase [Source:MGI Symbol;Acc:MGI:1929899]"
"101","ENSMUSG00000005804",1.2905511220158e-06,-289.134161916317,0.136,0.1,0.00258110224403159,"Bloc1s6","biogenesis of lysosomal organelles complex-1, subunit 6, pallidin [Source:MGI Symbol;Acc:MGI:1927580]"
"102","ENSMUSG00000005823",2.63719469724324e-10,114.637545436495,0.045,1,5.27438939448648e-07,"Gpr108","G protein-coupled receptor 108 [Source:MGI Symbol;Acc:MGI:1925558]"
"103","ENSMUSG00000005871",0.00023535297762612,6.73353651111773,0.386,1,0.470705955252241,"Apc","APC, WNT signaling pathway regulator [Source:MGI Symbol;Acc:MGI:88039]"
"104","ENSMUSG00000005881",0.935338021235113,-278.883100027867,0.477,0.7,1,"Ergic3","ERGIC and golgi 3 [Source:MGI Symbol;Acc:MGI:1913616]"
"105","ENSMUSG00000005897",0.00422275637106633,2.18317173004522,0.045,0.3,1,"Nr2c1","nuclear receptor subfamily 2, group C, member 1 [Source:MGI Symbol;Acc:MGI:1352465]"
"106","ENSMUSG00000005907",0.0483154283776936,2.17637038364242,0.068,0.7,1,"Pex1","peroxisomal biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:1918632]"
"107","ENSMUSG00000005973",0.0577198892102724,Inf,0.182,0.4,1,"Rcn1","reticulocalbin 1 [Source:MGI Symbol;Acc:MGI:104559]"
"108","ENSMUSG00000006024",0.00133068080782501,137.511696951699,0.341,1,1,"Napa","N-ethylmaleimide sensitive fusion protein attachment protein alpha [Source:MGI Symbol;Acc:MGI:104563]"
"109","ENSMUSG00000006289",0.592595573693605,-122.026105169522,0.205,0.5,1,"Osgep","O-sialoglycoprotein endopeptidase [Source:MGI Symbol;Acc:MGI:1913496]"
"110","ENSMUSG00000006360",0.00459088965034437,Inf,0.114,0.3,1,"Crip1","cysteine-rich protein 1 (intestinal) [Source:MGI Symbol;Acc:MGI:88501]"
"111","ENSMUSG00000006398",0.00017999933080346,29.4642953302386,0.205,1,0.35999866160692,"Cdc20","cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]"
"112","ENSMUSG00000006494",1.55867385956561e-07,451.385312371998,0.091,1,0.000311734771913123,"Pdk1","pyruvate dehydrogenase kinase, isoenzyme 1 [Source:MGI Symbol;Acc:MGI:1926119]"
"113","ENSMUSG00000006517",2.25247790278747e-07,2.54246486321048,0.159,1,0.000450495580557495,"Mvd","mevalonate (diphospho) decarboxylase [Source:MGI Symbol;Acc:MGI:2179327]"
"114","ENSMUSG00000006526",1.85979832902371e-06,74.1465985989079,0.227,1,0.00371959665804742,"Stimate","STIM activating enhancer [Source:MGI Symbol;Acc:MGI:1921500]"
"115","ENSMUSG00000006599",0.00780563801297082,22.41359758069,0.227,0.3,1,"Gtf2h1","general transcription factor II H, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1277216]"
"116","ENSMUSG00000006641",7.36268380104026e-07,378.17670647095,0.136,1,0.00147253676020805,"Slc5a6","solute carrier family 5 (sodium-dependent vitamin transporter), member 6 [Source:MGI Symbol;Acc:MGI:2660847]"
"117","ENSMUSG00000006717",0.0123936415033436,496.657954042183,0.159,0.8,1,"Acot13","acyl-CoA thioesterase 13 [Source:MGI Symbol;Acc:MGI:1914084]"
"118","ENSMUSG00000006782",0.008929708095725,Inf,0.273,0.9,1,"Cnp","2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]"
"119","ENSMUSG00000006800",0.34506991505283,Inf,0.455,0.9,1,"Sulf2","sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293]"
"120","ENSMUSG00000007038",0.112156437404892,242.104857668558,0.068,0.4,1,"Neu1","neuraminidase 1 [Source:MGI Symbol;Acc:MGI:97305]"
"121","ENSMUSG00000007097",0.797811321754006,Inf,0.886,0.8,1,"Atp1a2","ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:MGI Symbol;Acc:MGI:88106]"
"122","ENSMUSG00000007613",0.00770395459904211,225.591334275736,0.273,0.9,1,"Tgfbr1","transforming growth factor, beta receptor I [Source:MGI Symbol;Acc:MGI:98728]"
"123","ENSMUSG00000007812",0.122058371119679,120.930242277638,0.091,0.4,1,"Zfp655","zinc finger protein 655 [Source:MGI Symbol;Acc:MGI:1919861]"
"124","ENSMUSG00000007827",2.56018078819632e-06,477.095953675389,0.136,1,0.00512036157639264,"Ankrd26","ankyrin repeat domain 26 [Source:MGI Symbol;Acc:MGI:1917887]"
"125","ENSMUSG00000007872",0.00733329609664248,Inf,0.409,1,1,"Id3","inhibitor of DNA binding 3 [Source:MGI Symbol;Acc:MGI:96398]"
"126","ENSMUSG00000008206",5.28614344146123e-05,Inf,0.25,1,0.105722868829225,"Cers4","ceramide synthase 4 [Source:MGI Symbol;Acc:MGI:1914510]"
"127","ENSMUSG00000008384",4.13854386786195e-07,386.675524105908,0.114,0.1,0.00082770877357239,"Sertad1","SERTA domain containing 1 [Source:MGI Symbol;Acc:MGI:1913438]"
"128","ENSMUSG00000008435",0.167363891498984,-39.8968913834329,0.068,0.4,1,"Rdh13","retinol dehydrogenase 13 (all-trans and 9-cis) [Source:MGI Symbol;Acc:MGI:1918732]"
"129","ENSMUSG00000008489",0.00257224567824548,83.0080846355325,0.205,0.9,1,"Elavl2","ELAV like RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1100887]"
"130","ENSMUSG00000008540",2.12920240063573e-07,591.993735683502,0.091,1,0.000425840480127145,"Mgst1","microsomal glutathione S-transferase 1 [Source:MGI Symbol;Acc:MGI:1913850]"
"131","ENSMUSG00000008658",3.14680544328448e-09,129.916924605462,0.068,1,6.29361088656896e-06,"Rbfox1","RNA binding protein, fox-1 homolog (C. elegans) 1 [Source:MGI Symbol;Acc:MGI:1926224]"
"132","ENSMUSG00000008999",1.6088972580892e-05,336.568783030363,0.182,1,0.032177945161784,"Bmp7","bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302]"
"133","ENSMUSG00000009216",8.91256957683381e-06,312.071277195825,0.114,0.9,0.0178251391536676,"Fam163b","family with sequence similarity 163, member B [Source:MGI Symbol;Acc:MGI:1926106]"
"134","ENSMUSG00000009376",0.0197586666199732,82.1223112940732,0.068,0.7,1,"Met","met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969]"
"135","ENSMUSG00000009687",9.53389411780116e-05,608.633485992077,0.205,1,0.190677882356023,"Fxyd5","FXYD domain-containing ion transport regulator 5 [Source:MGI Symbol;Acc:MGI:1201785]"
"136","ENSMUSG00000010066",0.00335240992584519,140.473842552942,0.091,0.8,1,"Cacna2d2","calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:MGI Symbol;Acc:MGI:1929813]"
"137","ENSMUSG00000010406",0.000320770398965026,Inf,0.295,1,0.641540797930051,"Mrpl52","mitochondrial ribosomal protein L52 [Source:MGI Symbol;Acc:MGI:1916086]"
"138","ENSMUSG00000010755",0.724561719289592,83.0419984549187,0.205,0.6,1,"Cars","cysteinyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1351477]"
"139","ENSMUSG00000010914",0.00549824394082834,112.355566823577,0.068,0.3,1,"Pdhx","pyruvate dehydrogenase complex, component X [Source:MGI Symbol;Acc:MGI:1351627]"
"140","ENSMUSG00000011306",3.21308558927447e-10,-3.148216702997,0.045,1,6.42617117854895e-07,"Sugp1","SURP and G patch domain containing 1 [Source:MGI Symbol;Acc:MGI:1917866]"
"141","ENSMUSG00000011831",0.556495352578717,Inf,0.364,0.5,1,"Evi5","ecotropic viral integration site 5 [Source:MGI Symbol;Acc:MGI:104736]"
"142","ENSMUSG00000012640",0.00114845469257963,184.912848964286,0.068,0.8,1,"Zfp715","zinc finger protein 715 [Source:MGI Symbol;Acc:MGI:1917180]"
"143","ENSMUSG00000013465",0.00658482068070625,164.615404999427,0.136,0.8,1,"Nelfb","negative elongation factor complex member B [Source:MGI Symbol;Acc:MGI:1931035]"
"144","ENSMUSG00000013584",5.685322365812e-06,212.603887097902,0.136,1,0.011370644731624,"Aldh1a2","aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]"
"145","ENSMUSG00000013663",0.163708657095659,113.397479793272,0.341,0.4,1,"Pten","phosphatase and tensin homolog [Source:MGI Symbol;Acc:MGI:109583]"
"146","ENSMUSG00000014329",9.0373569058344e-05,570.358828820341,0.182,1,0.180747138116688,"Bicc1","BicC family RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1933388]"
"147","ENSMUSG00000014361",1.83561280140175e-08,219.684287127823,0.068,1,3.6712256028035e-05,"Mertk","MER proto-oncogene tyrosine kinase [Source:MGI Symbol;Acc:MGI:96965]"
"148","ENSMUSG00000014426",0.00658739976231219,133.334305491394,0.159,0.3,1,"Map3k4","mitogen-activated protein kinase kinase kinase 4 [Source:MGI Symbol;Acc:MGI:1346875]"
"149","ENSMUSG00000014602",3.95245442304539e-06,Inf,0.227,1,0.00790490884609077,"Kif1a","kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391]"
"150","ENSMUSG00000014633",0.573050172791061,173.326986226819,0.091,0.6,1,"Cmc2","COX assembly mitochondrial protein 2 [Source:MGI Symbol;Acc:MGI:1913781]"
"151","ENSMUSG00000014846",0.00367807767508218,Inf,0.091,0.8,1,"Tppp3","tubulin polymerization-promoting protein family member 3 [Source:MGI Symbol;Acc:MGI:1915221]"
